image_name,component_location,component_type,text_on_component,logo
s1_front.tif,"{""name"":""rect"",""x"":3391,""y"":1206,""width"":94,""height"":50}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":3109,""y"":1198,""width"":94,""height"":55}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":3881,""y"":1205,""width"":415,""height"":258}",capacitors,106V;S13KF,no
s1_front.tif,"{""name"":""rect"",""x"":5158,""y"":1325,""width"":337,""height"":191}",capacitors,226C;S13AF,no
s1_front.tif,"{""name"":""rect"",""x"":5679,""y"":1491,""width"":177,""height"":148}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5419,""y"":1676,""width"":74,""height"":108}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5838,""y"":1724,""width"":53,""height"":90}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5946,""y"":1720,""width"":53,""height"":94}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6329,""y"":1742,""width"":92,""height"":58}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":6329,""y"":1920,""width"":92,""height"":53}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6112,""y"":2328,""width"":94,""height"":51}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":6034,""y"":1968,""width"":60,""height"":94}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5930,""y"":1969,""width"":60,""height"":94}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5723,""y"":1966,""width"":60,""height"":90}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5628,""y"":1957,""width"":55,""height"":94}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":6122,""y"":2123,""width"":90,""height"":53}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":4755,""y"":1797,""width"":88,""height"":55}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5843,""y"":1968,""width"":53,""height"":88}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5430,""y"":1966,""width"":55,""height"":92}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6363,""y"":2367,""width"":92,""height"":55}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4932,""y"":1938,""width"":94,""height"":58}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6122,""y"":2224,""width"":88,""height"":55}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":4515,""y"":1798,""width"":94,""height"":58}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":4531,""y"":1948,""width"":265,""height"":373}",ICs,MFTP0R;20M,no
s1_front.tif,"{""name"":""rect"",""x"":3946,""y"":2047,""width"":53,""height"":88}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":3844,""y"":2050,""width"":53,""height"":92}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":3742,""y"":2047,""width"":53,""height"":92}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":4052,""y"":2051,""width"":53,""height"":92}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":3496,""y"":2051,""width"":53,""height"":85}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":2697,""y"":1936,""width"":145,""height"":173}",inductors,,no
s1_front.tif,"{""name"":""rect"",""x"":2409,""y"":2056,""width"":94,""height"":53}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":2201,""y"":2056,""width"":92,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":2079,""y"":2457,""width"":678,""height"":392}",ICs,GOTOP;S16P11Y;0445,no
s1_front.tif,"{""name"":""rect"",""x"":3098,""y"":2616,""width"":92,""height"":53}",resistors,39R,no
s1_front.tif,"{""name"":""rect"",""x"":3100,""y"":2510,""width"":92,""height"":53}",resistors,39R,no
s1_front.tif,"{""name"":""rect"",""x"":3213,""y"":2860,""width"":90,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":3088,""y"":3369,""width"":92,""height"":55}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":3089,""y"":3095,""width"":92,""height"":55}",resistors,510,no
s1_front.tif,"{""name"":""rect"",""x"":3084,""y"":3229,""width"":92,""height"":55}",resistors,510,no
s1_front.tif,"{""name"":""rect"",""x"":2160,""y"":3638,""width"":94,""height"":55}",resistors,750,no
s1_front.tif,"{""name"":""rect"",""x"":2160,""y"":3498,""width"":94,""height"":55}",resistors,750,no
s1_front.tif,"{""name"":""rect"",""x"":1885,""y"":4266,""width"":263,""height"":173}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":3441,""y"":2399,""width"":887,""height"":887}",ICs,LEVEL;ONE;9601 EJK8;LXT907PC;14551,yes
s1_front.tif,"{""name"":""rect"",""x"":3865,""y"":3446,""width"":51,""height"":85}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":3715,""y"":3554,""width"":78,""height"":111}",inductors,,no
s1_front.tif,"{""name"":""rect"",""x"":3579,""y"":3549,""width"":76,""height"":111}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4068,""y"":3563,""width"":55,""height"":92}",resistors,472,no
s1_front.tif,"{""name"":""rect"",""x"":3347,""y"":3561,""width"":55,""height"":92}",resistors,472,no
s1_front.tif,"{""name"":""rect"",""x"":4378,""y"":3571,""width"":58,""height"":90}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":4169,""y"":3566,""width"":58,""height"":90}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":3241,""y"":3967,""width"":406,""height"":242}",capacitors,106V;S13KF,no
s1_front.tif,"{""name"":""rect"",""x"":3923,""y"":3999,""width"":332,""height"":189}",capacitors,226C;S13AF,no
s1_front.tif,"{""name"":""rect"",""x"":5073,""y"":3941,""width"":182,""height"":327}",capacitors,226C;S13AF,no
s1_front.tif,"{""name"":""rect"",""x"":4584,""y"":3338,""width"":115,""height"":74}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4599,""y"":3107,""width"":92,""height"":53}",resistors,472,no
s1_front.tif,"{""name"":""rect"",""x"":4600,""y"":3218,""width"":92,""height"":53}",resistors,472,no
s1_front.tif,"{""name"":""rect"",""x"":4605,""y"":2904,""width"":88,""height"":53}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":4607,""y"":3008,""width"":88,""height"":53}",resistors,01C,no
s1_front.tif,"{""name"":""rect"",""x"":4607,""y"":2798,""width"":92,""height"":58}",resistors,331,no
s1_front.tif,"{""name"":""rect"",""x"":4610,""y"":2462,""width"":94,""height"":53}",resistors,470,no
s1_front.tif,"{""name"":""rect"",""x"":4819,""y"":2459,""width"":94,""height"":53}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4820,""y"":2706,""width"":90,""height"":53}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4831,""y"":3266,""width"":53,""height"":88}",resistors,222,no
s1_front.tif,"{""name"":""rect"",""x"":4815,""y"":3010,""width"":92,""height"":55}",resistors,222,no
s1_front.tif,"{""name"":""rect"",""x"":4811,""y"":3106,""width"":92,""height"":55}",resistors,222,no
s1_front.tif,"{""name"":""rect"",""x"":5509,""y"":3263,""width"":55,""height"":92}",resistors,102,no
s1_front.tif,"{""name"":""rect"",""x"":4928,""y"":3259,""width"":55,""height"":92}",resistors,102,no
s1_front.tif,"{""name"":""rect"",""x"":5029,""y"":3259,""width"":55,""height"":92}",resistors,102,no
s1_front.tif,"{""name"":""rect"",""x"":5206,""y"":3264,""width"":55,""height"":92}",resistors,102,no
s1_front.tif,"{""name"":""rect"",""x"":5345,""y"":3266,""width"":53,""height"":92}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5619,""y"":3273,""width"":53,""height"":88}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5806,""y"":3259,""width"":76,""height"":113}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5144,""y"":2284,""width"":744,""height"":758}",ICs,MAX R;EPM7064STC100-10;W BFB240013A,yes
s1_front.tif,"{""name"":""rect"",""x"":5578,""y"":4059,""width"":171,""height"":145}",resistors,0,no
s1_front.tif,"{""name"":""rect"",""x"":5965,""y"":3914,""width"":88,""height"":48}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6310,""y"":3812,""width"":90,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":5771,""y"":3524,""width"":217,""height"":270}",ICs,ATMEL 450;93C46;SI27 A,no
s1_front.tif,"{""name"":""rect"",""x"":6315,""y"":3296,""width"":88,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6322,""y"":2888,""width"":90,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6117,""y"":2750,""width"":94,""height"":48}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":6126,""y"":2611,""width"":90,""height"":51}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4508,""y"":1615,""width"":121,""height"":82}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":4759,""y"":1624,""width"":98,""height"":63}",capacitors,,no
s1_front.tif,"{""name"":""rect"",""x"":3640,""y"":2045,""width"":55,""height"":90}",resistors,123,no
s1_front.tif,"{""name"":""rect"",""x"":2380,""y"":3220,""width"":315,""height"":400}",ICs,GOTOP;8GD002,no
